province,seeds,mean_support,baseline_accuracy_mean,candidate_accuracy_mean,improvement_mean,improvement_std,improved_seeds,degraded_seeds,fixed_total,regressed_total
65,3,28.0,0.4166666666666667,0.4761904761904762,0.059523809523809555,0.19669894811736083,2,1,14,9
76,3,37.0,0.3603603603603604,0.41441441441441446,0.054054054054054036,0.12385339716096863,2,1,16,10
66,3,28.0,0.2976190476190476,0.3452380952380953,0.04761904761904764,0.14433756729740646,2,1,9,5
92,3,30.0,0.4444444444444445,0.4777777777777777,0.033333333333333326,0.05773502691896256,2,1,13,10
83,3,31.0,0.17204301075268816,0.20430107526881722,0.03225806451612903,0.03225806451612903,2,0,10,7
62,3,38.0,0.17543859649122806,0.20175438596491227,0.02631578947368421,0.0,3,0,15,12
27,3,28.0,0.5357142857142857,0.5595238095238094,0.023809523809523798,0.12542444943872302,2,1,13,11
64,3,30.0,0.2333333333333333,0.25555555555555554,0.022222222222222227,0.11706281947614153,2,1,11,9
93,3,35.0,0.19999999999999998,0.20952380952380953,0.009523809523809526,0.08728715609439694,2,1,11,10
20,3,31.0,0.3225806451612903,0.3225806451612903,0.0,0.11174521339154048,1,2,10,10
35,3,26.0,1.0,1.0,0.0,0.0,0,0,0,0
36,3,29.0,0.3563218390804597,0.35632183908045983,0.0,0.18246560765962694,2,1,11,11
71,3,31.0,0.4516129032258065,0.45161290322580644,0.0,0.22349042678308095,2,1,18,18
74,3,30.0,0.4222222222222222,0.4222222222222222,0.0,0.05773502691896256,1,2,7,7
94,3,33.0,0.11111111111111112,0.11111111111111112,0.0,0.030303030303030304,1,1,3,3
21,3,33.0,0.25252525252525254,0.25252525252525254,-9.25185853854297e-18,0.08017428215347246,2,1,5,5
63,3,33.0,0.4444444444444444,0.4444444444444444,-1.850371707708594e-17,0.08017428215347243,1,2,5,5
86,3,33.0,0.7373737373737375,0.7373737373737373,-7.401486830834377e-17,0.05248638810814781,1,2,12,12
24,3,38.0,0.2192982456140351,0.21052631578947367,-0.008771929824561412,0.06077371254627638,2,1,8,9
79,3,30.0,0.5222222222222221,0.5111111111111111,-0.01111111111111109,0.10183501544346311,1,2,9,10
19,3,32.0,0.19791666666666666,0.17708333333333334,-0.020833333333333332,0.036084391824351615,0,1,7,9
99,3,29.0,0.41379310344827586,0.39080459770114945,-0.022988505747126436,0.1393604098043924,1,1,15,17
37,3,43.0,0.7751937984496124,0.751937984496124,-0.023255813953488375,0.06976744186046513,1,2,6,9
82,3,31.0,0.6236559139784946,0.5806451612903225,-0.04301075268817206,0.11328659949304017,1,2,7,11
69,3,37.0,0.2882882882882883,0.24324324324324328,-0.04504504504504503,0.1758488405039922,1,2,10,15
48,3,31.0,0.12903225806451613,0.07526881720430108,-0.053763440860215055,0.01862420223192341,0,3,3,8
61,3,33.0,0.47474747474747475,0.41414141414141414,-0.06060606060606059,0.20994555243259116,2,1,11,17
23,3,33.0,0.31313131313131315,0.25252525252525254,-0.06060606060606061,0.09090909090909091,1,2,5,11
84,3,40.0,0.13333333333333333,0.05833333333333333,-0.075,0.09013878188659974,0,2,4,13
98,3,28.0,0.8571428571428571,0.7738095238095237,-0.08333333333333337,0.11480536620229707,0,2,4,11
90,3,27.0,0.3703703703703704,0.2839506172839506,-0.08641975308641975,0.14021995915556232,1,2,6,13
89,3,30.0,0.4777777777777778,0.3888888888888889,-0.08888888888888889,0.05091750772173155,0,3,6,14
43,3,33.0,0.4343434343434343,0.3333333333333333,-0.101010101010101,0.1366439319037241,1,2,5,15
12,3,33.0,0.3737373737373737,0.2727272727272727,-0.10101010101010101,0.12246823891901149,1,2,10,20
11,3,35.0,0.6095238095238096,0.4857142857142857,-0.12380952380952383,0.0329914439536929,0,3,9,22
14,3,34.0,0.45098039215686275,0.3137254901960784,-0.1372549019607843,0.016980890270283083,0,3,6,20
70,3,34.0,0.5980392156862745,0.4313725490196078,-0.1666666666666667,0.1113511440352995,0,3,4,21
38,3,33.0,0.8585858585858586,0.6767676767676768,-0.18181818181818177,0.030303030303030276,0,3,4,22
