true_province,predicted_province,baseline_count,candidate_count,change_candidate_minus_baseline
79,64,2,3,1
61,69,3,3,0
90,88,2,3,1
48,62,0,3,3
37,48,3,0,-3
90,36,3,1,-2
21,12,2,3,1
37,30,0,3,3
70,83,2,3,1
22,21,3,0,-3
18,99,3,2,-1
59,30,2,3,1
71,61,3,0,-3
43,76,1,3,2
21,97,3,0,-3
67,59,3,0,-3
95,94,2,3,1
23,88,0,3,3
66,59,3,0,-3
26,22,0,3,3
77,73,3,0,-3
89,18,2,3,1
82,83,1,3,2
15,30,3,1,-2
82,62,1,2,1
73,86,2,2,0
12,17,0,2,2
81,70,0,2,2
89,12,2,0,-2
48,27,1,2,1
93,61,2,2,0
74,48,1,2,1
11,20,2,0,-2
65,84,2,0,-2
26,20,2,0,-2
92,62,2,0,-2
76,73,2,0,-2
83,95,0,2,2
48,72,2,1,-1
34,21,2,0,-2
67,60,2,2,0
88,98,0,2,2
88,49,0,2,2
66,60,0,2,2
49,79,2,2,0
60,63,2,0,-2
17,28,2,0,-2
49,37,2,0,-2
15,35,2,1,-1
74,47,2,1,-1
28,92,0,2,2
81,88,2,0,-2
37,20,1,2,1
81,36,0,2,2
61,65,2,0,-2
48,37,2,2,0
92,74,2,2,0
49,70,2,1,-1
17,48,2,1,-1
67,64,1,2,1
61,27,2,1,-1
90,24,1,2,1
82,93,0,2,2
37,11,2,1,-1
47,74,2,0,-2
81,25,0,2,2
67,61,1,2,1
21,99,1,2,1
66,61,2,1,-1
60,48,2,0,-2
61,93,2,0,-2
36,26,2,0,-2
97,37,0,2,2
47,82,2,2,0
26,24,1,2,1
23,17,2,2,0
49,88,2,1,-1
19,97,2,2,0
47,27,2,1,-1
67,83,2,0,-2
93,26,2,0,-2
72,81,1,2,1
25,97,2,0,-2
69,68,2,2,0
12,26,0,2,2
27,12,1,2,1
81,71,1,2,1
20,98,2,0,-2
93,72,2,1,-1
59,79,2,0,-2
83,71,2,0,-2
92,79,2,0,-2
89,98,2,0,-2
20,17,1,2,1
27,36,0,2,2
17,36,1,2,1
66,94,2,1,-1
72,68,0,2,2
60,68,0,2,2
89,99,1,2,1
49,89,2,0,-2
20,24,2,2,0
82,85,2,2,0
65,71,1,2,1
48,19,2,0,-2
27,22,0,2,2
37,18,1,2,1
27,59,2,0,-2
20,18,2,2,0
88,23,2,0,-2
19,72,2,2,0
22,36,0,2,2
27,19,2,0,-2
59,47,1,2,1
18,88,0,2,2
93,99,1,2,1
72,59,2,2,0
17,20,2,0,-2
23,90,2,2,0
81,61,2,1,-1
98,15,2,2,0
94,60,2,0,-2
86,43,2,1,-1
65,64,2,0,-2
24,14,2,1,-1
70,63,2,1,-1
66,93,1,2,1
27,14,2,2,0
21,28,2,0,-2
98,59,2,0,-2
47,36,0,2,2
70,93,2,1,-1
72,60,0,2,2
47,22,0,2,2
71,63,2,0,-2
97,14,0,2,2
66,48,2,0,-2
49,24,1,2,1
81,97,2,0,-2
68,85,1,2,1
90,21,2,0,-2
93,65,1,2,1
69,85,2,0,-2
79,48,1,2,1
67,85,2,0,-2
27,24,0,2,2
48,83,2,1,-1
60,17,0,2,2
27,18,2,1,-1
71,84,2,1,-1
93,27,0,2,2
14,99,1,2,1
82,48,1,2,1
60,24,1,2,1
72,21,0,2,2
19,90,1,2,1
84,81,0,2,2
49,97,2,0,-2
81,72,2,1,-1
89,48,2,1,-1
14,21,0,2,2
69,94,2,1,-1
89,49,1,2,1
62,68,2,2,0
59,64,2,0,-2
60,83,0,2,2
34,60,0,2,2
37,81,2,1,-1
48,34,2,1,-1
37,85,2,1,-1
63,93,2,1,-1
82,47,2,0,-2
15,98,2,1,-1
25,23,2,1,-1
17,59,2,0,-2
59,18,0,2,2
49,26,2,1,-1
81,49,2,1,-1
65,69,2,1,-1
19,28,0,2,2
59,83,0,2,2
93,70,2,2,0
90,27,2,1,-1
63,79,2,1,-1
61,62,1,2,1
75,11,2,0,-2
90,23,1,2,1
24,26,2,0,-2
14,90,2,0,-2
90,11,2,1,-1
81,21,2,0,-2
34,24,0,2,2
11,23,2,0,-2
64,85,2,0,-2
48,60,2,0,-2
82,25,2,2,0
99,34,2,1,-1
60,66,0,2,2
84,66,0,2,2
70,14,0,2,2
99,25,2,0,-2
12,88,0,2,2
24,48,0,2,2
72,93,2,0,-2
69,48,2,0,-2
88,18,1,2,1
83,94,2,2,0
82,71,2,1,-1
61,66,0,2,2
72,69,2,0,-2
48,99,2,2,0
48,81,2,0,-2
48,24,2,1,-1
72,48,2,0,-2
62,64,2,2,0
68,47,0,2,2
30,34,2,1,-1
97,98,2,0,-2
17,21,2,1,-1
70,61,2,1,-1
47,26,2,1,-1
79,61,2,1,-1
36,14,2,2,0
97,99,0,2,2
88,34,2,0,-2
47,93,2,1,-1
85,65,2,1,-1
34,26,2,0,-2
60,85,2,0,-2
26,12,2,0,-2
70,68,0,2,2
71,81,0,2,2
26,88,0,2,2
47,69,2,1,-1
79,83,0,2,2
26,36,2,2,0
23,12,2,2,0
85,63,1,2,1
14,12,2,2,0
79,62,1,2,1
74,93,2,0,-2
37,47,2,0,-2
47,30,1,2,1
49,63,1,1,0
83,79,1,1,0
20,12,0,1,1
64,79,1,0,-1
49,23,1,0,-1
25,14,1,1,0
47,99,0,1,1
23,22,1,0,-1
23,34,0,1,1
26,89,1,0,-1
24,82,0,1,1
93,81,1,0,-1
75,14,0,1,1
47,21,1,0,-1
59,67,1,0,-1
69,63,1,0,-1
14,25,1,0,-1
94,93,1,0,-1
22,90,1,0,-1
89,36,1,1,0
64,95,0,1,1
90,14,1,1,0
