seed,province,support,baseline_accuracy,candidate_accuracy,improvement,fixed,regressed
43,38,33,0.8787878787878788,0.6363636363636364,-0.24242424242424243,0,8
43,43,33,0.8484848484848485,0.7575757575757576,-0.09090909090909094,0,3
43,47,34,0.20588235294117646,0.4411764705882353,0.23529411764705882,12,4
43,48,31,0.16129032258064516,0.25806451612903225,0.0967741935483871,4,1
43,49,33,0.15151515151515152,0.24242424242424243,0.09090909090909091,4,1
43,59,34,0.5,0.6764705882352942,0.17647058823529416,6,0
43,60,31,0.25806451612903225,0.3548387096774194,0.09677419354838712,4,1
43,61,33,0.3939393939393939,0.45454545454545453,0.06060606060606061,3,1
43,62,38,0.21052631578947367,0.2894736842105263,0.07894736842105265,5,2
43,63,33,0.696969696969697,0.5454545454545454,-0.1515151515151516,1,6
43,64,30,0.4,0.5,0.09999999999999998,4,1
43,65,28,0.6428571428571429,0.4642857142857143,-0.1785714285714286,1,6
43,66,28,0.39285714285714285,0.5357142857142857,0.14285714285714285,5,1
43,67,31,0.1935483870967742,0.25806451612903225,0.06451612903225806,4,2
43,68,32,0.1875,0.34375,0.15625,5,0
43,69,37,0.21621621621621623,0.2972972972972973,0.08108108108108109,4,1
43,70,34,0.9117647058823529,0.8235294117647058,-0.08823529411764708,0,3
43,71,31,0.5161290322580645,0.5483870967741935,0.032258064516129004,5,4
43,72,31,0.8064516129032258,0.8064516129032258,0.0,1,1
43,73,34,0.4411764705882353,0.7941176470588235,0.3529411764705882,12,0
43,74,30,0.7333333333333333,0.7333333333333333,0.0,0,0
43,75,32,0.9375,0.9375,0.0,0,0
43,76,37,0.918918918918919,0.8918918918918919,-0.027027027027027084,1,2
43,77,28,0.9285714285714286,1.0,0.0714285714285714,2,0
43,78,32,0.6875,0.9375,0.25,8,0
43,79,30,0.7333333333333333,0.8,0.06666666666666676,2,0
43,81,33,0.7272727272727273,0.7575757575757576,0.030303030303030276,4,3
43,82,31,0.8387096774193549,0.8064516129032258,-0.032258064516129115,0,1
43,83,31,0.2903225806451613,0.25806451612903225,-0.03225806451612906,3,4
43,84,40,0.15,0.225,0.07500000000000001,4,1
43,85,34,0.6764705882352942,0.8235294117647058,0.1470588235294117,5,0
43,86,33,0.6060606060606061,0.8484848484848485,0.24242424242424243,8,0
43,88,28,0.42857142857142855,0.42857142857142855,0.0,3,3
43,89,30,0.7333333333333333,0.6666666666666666,-0.06666666666666665,0,2
43,90,27,0.4444444444444444,0.5925925925925926,0.14814814814814814,4,0
43,92,30,0.9666666666666667,0.9333333333333333,-0.033333333333333326,0,1
43,93,35,0.6571428571428571,0.4857142857142857,-0.17142857142857143,1,7
43,94,33,0.030303030303030304,0.12121212121212122,0.09090909090909091,3,0
43,95,30,0.6,0.6333333333333333,0.033333333333333326,3,2
43,97,34,0.47058823529411764,0.4117647058823529,-0.05882352941176472,2,4
43,98,28,0.9285714285714286,0.9285714285714286,0.0,0,0
43,99,29,0.20689655172413793,0.3793103448275862,0.17241379310344826,5,0
44,11,35,0.8571428571428571,0.9142857142857143,0.05714285714285716,3,1
44,12,33,0.3939393939393939,0.3939393939393939,0.0,2,2
44,14,34,0.5588235294117647,0.6470588235294118,0.08823529411764708,3,0
44,15,33,0.8181818181818182,0.7272727272727273,-0.09090909090909094,0,3
44,17,33,0.6363636363636364,0.8181818181818182,0.18181818181818188,6,0
44,18,31,0.5161290322580645,0.7096774193548387,0.19354838709677424,7,1
44,19,32,0.4375,0.4375,0.0,2,2
44,20,31,0.3870967741935484,0.45161290322580644,0.06451612903225806,4,2
44,21,33,0.45454545454545453,0.42424242424242425,-0.030303030303030276,2,3
44,22,34,0.38235294117647056,0.7647058823529411,0.38235294117647056,13,0
44,23,33,0.6060606060606061,0.6363636363636364,0.030303030303030276,3,2
44,24,38,0.21052631578947367,0.23684210526315788,0.02631578947368421,2,1
44,25,27,0.07407407407407407,0.14814814814814814,0.07407407407407407,2,0
44,26,35,0.5428571428571428,0.5714285714285714,0.02857142857142858,2,1
44,27,28,0.32142857142857145,0.5,0.17857142857142855,5,0
44,28,32,0.65625,0.6875,0.03125,3,2
44,30,29,0.7586206896551724,0.7586206896551724,0.0,2,2
44,34,30,0.6,0.6,0.0,1,1
44,35,26,0.8846153846153846,1.0,0.11538461538461542,3,0
44,36,29,0.896551724137931,0.8275862068965517,-0.06896551724137934,0,2
44,37,43,0.9534883720930233,1.0,0.046511627906976716,2,0
44,38,33,0.8484848484848485,0.8484848484848485,0.0,0,0
44,43,33,0.696969696969697,0.7575757575757576,0.06060606060606055,3,1
44,47,34,0.38235294117647056,0.47058823529411764,0.08823529411764708,8,5
44,48,31,0.2903225806451613,0.2903225806451613,0.0,2,2
44,49,33,0.21212121212121213,0.21212121212121213,0.0,1,1
44,59,34,0.5294117647058824,0.7058823529411765,0.17647058823529416,6,0
